itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.31292492,0.14011031,1.7478107,1.7437059
2,1,-0.606405,-0.64973265,1.7405268,1.7301584
3,2,-0.3427682,-0.4294529,1.5630687,1.565112
4,3,0.8305404,0.87720627,1.7129444,1.771169
5,4,-1.0320956,-1.1923772,1.7937305,1.7970523
6,5,-1.5845796,-1.6466178,2.0106297,2.0120423
7,6,0.5662929,0.5243672,1.7106409,1.7536087
8,7,0.004916919,-0.09370223,1.5491312,1.5869764
9,8,-0.5278205,-0.5655705,1.7788973,1.7798669
10,9,1.3244122,1.258409,1.776421,1.8147595
11,10,0.46259424,0.39612865,1.6646807,1.6774266
12,11,-0.43087068,-0.4155157,1.618412,1.6566902
13,12,0.1213736,0.12011793,1.6939288,1.6832663
14,13,-0.017453816,-0.09060374,1.7051022,1.6966966
15,14,0.3899434,0.36334622,1.6856427,1.6966935
16,15,-0.37398276,-0.44270507,1.7048135,1.6743448
17,16,-0.9679425,-0.9024771,1.9096727,1.847159
18,17,0.26164982,0.23500517,1.6472279,1.6640584
19,18,-0.6447715,-0.76156324,1.7737142,1.7353178
20,19,0.38694957,0.3675743,1.7344657,1.7453465
21,20,0.6937334,0.5853439,1.6775357,1.713936
22,21,-0.529284,-0.5160723,1.6918795,1.6454768
23,22,-0.5843532,-0.71479905,1.7504754,1.721293
24,23,0.84983194,0.5978719,1.6575142,1.6243626
25,24,-0.8747888,-0.84336674,1.7803712,1.7416862
26,25,0.5750854,0.5526713,1.6181011,1.6289431
27,26,0.08049868,0.014499168,1.6579219,1.6685543
28,27,-0.2418303,-0.3706313,1.6312436,1.64504
29,28,-0.3209371,-0.4078726,1.705691,1.6806287
30,29,0.14085896,0.043849733,1.7060938,1.6907693
31,30,0.3080782,0.2609816,1.6135286,1.6042258
32,31,-0.414127,-0.34811464,1.6177598,1.613572
33,32,0.10329859,0.05148765,1.7515123,1.7462995
34,33,0.36222705,0.24591033,1.6041102,1.5929279
35,34,-0.25655442,-0.27663833,1.7315003,1.7324306
36,35,-0.22755043,-0.24943775,1.595912,1.582564
37,36,0.6354666,0.5417786,1.6915221,1.6791251
38,37,0.32199052,0.17883891,1.5985183,1.6239668
39,38,-0.20176208,-0.2685386,1.6578391,1.6418296
40,39,0.41697046,0.38398546,1.7088248,1.7302966
41,40,0.44457546,0.27897507,1.7002848,1.6930602
42,41,-0.39959732,-0.48198146,1.6319678,1.6122679
43,42,0.4877733,0.41432157,1.6770775,1.7077241
44,43,0.58208454,0.4119546,1.6545548,1.6352704
45,44,-0.4339901,-0.49000552,1.747249,1.6891562
46,45,0.56485385,0.61673725,1.6880488,1.7291012
47,46,-0.24825731,-0.47861677,1.6800396,1.660388
48,47,0.70800775,0.6861031,1.6387651,1.667069
49,48,-0.39433584,-0.47104716,1.7312354,1.7304164
50,49,-0.28088653,-0.39732555,1.6921952,1.678443
