id,sid,theta,k,c
1,0,-0.87499535,0.50960064,1.0009599
2,1,0.117403425,0.5028074,0.9998335
3,2,0.69288355,0.49478942,1.0015076
4,3,0.10681177,0.5016629,0.99998367
5,4,0.5973192,0.4916822,1.000607
6,5,-0.3691141,0.50294006,1.0000916
7,6,0.016869375,0.49801236,1.0000505
8,7,0.02156125,0.49989972,1.0002723
9,8,0.37504986,0.4931412,1.000943
10,9,-0.68596524,0.50454944,0.999158
11,10,-0.23673789,0.50403446,1.0004252
12,11,-0.73576486,0.51159793,0.99945664
13,12,0.46655044,0.5001282,0.99941456
14,13,0.19667907,0.50087726,1.0023472
15,14,-0.56324244,0.5053227,0.99864197
16,15,0.19878998,0.49714848,0.999961
17,16,0.2875974,0.49601054,1.0001868
18,17,0.5527358,0.4943372,1.0000801
19,18,0.46045837,0.4935933,1.000406
20,19,0.11122936,0.5003245,1.0002724
21,20,0.4262004,0.49645206,1.0002533
22,21,-0.14633669,0.50101566,1.0006701
23,22,-0.20692721,0.502162,0.99895376
24,23,0.15411821,0.49716145,0.9978379
25,24,0.23929833,0.49306569,1.0000184
26,25,-0.11984317,0.50029826,1.001397
27,26,0.25648043,0.5015734,1.0002674
28,27,0.37940168,0.49688768,1.0003427
29,28,-0.1473669,0.50052124,0.9978228
30,29,0.33357537,0.49781764,0.999302
31,30,0.602843,0.4947645,1.0003622
32,31,-0.500008,0.5053716,1.0012473
33,32,0.009385054,0.4945178,0.9969975
34,33,0.50139356,0.49484304,1.0008618
35,34,0.16151981,0.4978265,1.001921
36,35,-0.23637977,0.5025418,1.0000305
37,36,0.15624447,0.49562946,1.0009712
38,37,-0.6018081,0.50468236,0.9986779
39,38,0.10239823,0.4989314,0.99977666
40,39,-0.29885462,0.50315714,1.0002116
41,40,-0.16665322,0.50060177,0.99960566
42,41,-0.31827188,0.5006635,1.0005063
43,42,-0.9652476,0.5112182,1.0000807
44,43,0.7501649,0.49156982,1.0003577
45,44,-0.37288302,0.505147,1.0032043
46,45,0.6036579,0.49236503,1.0016421
47,46,0.24949706,0.4953082,1.0012168
48,47,-0.5049062,0.5024769,0.998889
49,48,0.45890453,0.49616897,0.99870604
50,49,-0.5083437,0.50233257,1.0007219
51,50,-0.20219469,0.49878922,0.99942744
52,51,0.11600988,0.4975832,0.9988018
53,52,0.1671822,0.49309695,0.9987883
54,53,0.24481526,0.49764115,1.0021077
55,54,0.20034592,0.4987605,0.99921787
56,55,0.24963479,0.4934541,0.99885386
57,56,-0.24279363,0.5042152,0.9986024
58,57,0.030336743,0.5005418,0.9992206
59,58,0.46856764,0.49686393,1.0005045
60,59,0.4640797,0.49559844,0.9999902
61,60,-0.15266316,0.50314456,1.0002158
62,61,-0.15019982,0.5040056,0.99938315
63,62,-0.07560647,0.5007235,1.0011827
64,63,-0.45254713,0.50903547,0.99999815
65,64,0.02695444,0.50000125,1.0014821
66,65,0.5992553,0.49306858,0.9985742
67,66,-0.062739,0.49866506,0.99899995
68,67,0.20161878,0.4982417,1.0002527
69,68,-0.19483356,0.5053986,0.99979085
70,69,0.33491483,0.49368474,0.99954444
71,70,0.076172195,0.4982006,0.9994428
