itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.51482,0.38428608,1.0,1.0
2,1,-0.9559333,-1.1111969,1.0,1.0
3,2,-0.6862517,-0.71312964,1.0,1.0
4,3,1.6273605,1.5539486,1.0,1.0
5,4,-2.0764852,-2.1263018,1.0,1.0
6,5,-2.5175977,-2.5731122,1.0,1.0
7,6,0.88045776,0.795737,1.0,1.0
8,7,-0.06252062,0.016327541,1.0,1.0
9,8,-0.67485726,-0.90201294,1.0,1.0
10,9,1.9823554,1.8718711,1.0,1.0
11,10,0.6594204,0.61247367,1.0,1.0
12,11,-0.60756457,-0.6461596,1.0,1.0
13,12,0.4266877,0.3534445,1.0,1.0
14,13,-0.04645162,-0.13775977,1.0,1.0
15,14,0.82402474,0.59535384,1.0,1.0
16,15,-0.35622498,-0.5044353,1.0,1.0
17,16,-1.446686,-1.6307312,1.0,1.0
18,17,0.33919308,0.44833347,1.0,1.0
19,18,-1.159692,-1.244384,1.0,1.0
20,19,0.71774566,0.5741451,1.0,1.0
21,20,1.0974729,1.0422537,1.0,1.0
22,21,-0.7627122,-0.8008038,1.0,1.0
23,22,-0.8264755,-1.0014488,1.0,1.0
24,23,1.193173,1.1886696,1.0,1.0
25,24,-1.3161758,-1.3136305,1.0,1.0
26,25,0.9280392,0.7968168,1.0,1.0
27,26,0.15674976,0.001843315,1.0,1.0
28,27,-0.4504406,-0.5484519,1.0,1.0
29,28,-0.53841704,-0.69819015,1.0,1.0
30,29,0.17385817,0.02706427,1.0,1.0
31,30,0.41947323,0.261045,1.0,1.0
32,31,-0.55524606,-0.51302916,1.0,1.0
33,32,0.1779821,0.06203427,1.0,1.0
34,33,0.46111265,0.41218984,1.0,1.0
35,34,-0.26580575,-0.4393448,1.0,1.0
36,35,-0.33644843,-0.39880997,1.0,1.0
37,36,1.0134389,0.9267494,1.0,1.0
38,37,0.3711809,0.14219968,1.0,1.0
39,38,-0.018912734,-0.24289536,1.0,1.0
40,39,0.8357475,0.7373267,1.0,1.0
41,40,0.6439697,0.60244346,1.0,1.0
42,41,-0.67514646,-0.7697008,1.0,1.0
43,42,0.6223019,0.49385083,1.0,1.0
44,43,0.81090486,0.78935546,1.0,1.0
45,44,-0.7681954,-0.8266511,1.0,1.0
46,45,0.93916076,0.76730716,1.0,1.0
47,46,-0.46868816,-0.4869911,1.0,1.0
48,47,1.0109208,0.9773052,1.0,1.0
49,48,-0.62117946,-0.7048423,1.0,1.0
50,49,-0.6334589,-0.62184376,1.0,1.0
