id,sid,theta,k,c
1,0,-0.68744355,0.50710624,1.0008816
2,1,0.030624501,0.4989295,0.9990862
3,2,0.4073396,0.49493226,1.0008701
4,3,-0.3831726,0.5034422,1.0004994
5,4,0.558677,0.4953348,1.0002553
6,5,-0.15824054,0.5035201,1.0005121
7,6,-0.08171545,0.49822247,1.0002605
8,7,-0.04498629,0.5019588,0.9997502
9,8,0.21923302,0.49471927,0.9995868
10,9,-0.6113305,0.50550544,0.9999538
11,10,-0.15743135,0.49947113,0.9989315
12,11,-0.42173973,0.50418115,1.0013112
13,12,0.71202034,0.49417946,0.9997175
14,13,0.33296704,0.49609724,0.9998056
15,14,-0.45968583,0.50502723,0.99893624
16,15,0.06872908,0.49931976,1.0005577
17,16,0.37021083,0.49713364,0.999921
18,17,0.25792256,0.49727684,1.0003035
19,18,0.40726793,0.49811983,0.9996332
20,19,-0.1579373,0.5008672,1.0003892
21,20,0.21895424,0.4948076,1.0000648
22,21,-0.04488658,0.4993519,1.0002042
23,22,-0.04424268,0.502928,0.9990262
24,23,-0.15662186,0.5031888,0.9993596
25,24,0.14386809,0.4975728,0.99910825
26,25,-0.007086783,0.5010715,1.0005145
27,26,0.29434615,0.4961623,0.9998592
28,27,0.14323476,0.49802044,0.9993957
29,28,-0.12001714,0.5015317,1.0005982
30,29,0.36996585,0.50015914,1.0008101
31,30,0.44625443,0.49563897,0.9992886
32,31,-0.49782133,0.5043141,0.9998123
33,32,0.029740935,0.49851647,0.9989079
34,33,0.21869457,0.49851316,1.0009137
35,34,0.21892332,0.49959555,1.0002674
36,35,-0.04479242,0.5002827,1.0005248
37,36,-0.0069242027,0.50350773,0.9993327
38,37,-0.6110859,0.5068674,0.99985987
39,38,0.294309,0.4945119,0.9987712
40,39,-0.23256014,0.50005513,0.9999937
41,40,-0.045020305,0.50118333,1.0003372
42,41,-0.27110204,0.5037102,0.9997115
43,42,-0.7257288,0.506204,0.99960244
44,43,0.5215973,0.4943922,0.9991827
45,44,-0.19501735,0.49985537,0.999509
46,45,0.4077244,0.4957681,0.9994438
47,46,0.25639683,0.49842605,1.0007101
48,47,-0.34646806,0.50359505,0.9990392
49,48,0.21908624,0.49895486,0.99992055
50,49,-0.30800778,0.50277257,1.0001882
51,50,0.031310964,0.5002406,0.99974674
52,51,0.030591955,0.4996197,0.9997141
53,52,0.21936771,0.49832165,0.99990195
54,53,0.1067165,0.50205237,1.0001583
55,54,0.2199415,0.50010115,1.0011395
56,55,0.030526664,0.5005939,1.0005791
57,56,0.106164426,0.49959406,1.0003037
58,57,-0.08222125,0.50035346,1.0001066
59,58,0.4456035,0.49452505,1.0000294
60,59,-0.044195693,0.499809,0.9998695
61,60,-0.15688775,0.5010731,0.9990899
62,61,-0.38385206,0.50246334,0.9992741
63,62,-0.08201959,0.50240827,0.9991966
64,63,-0.30797222,0.50360614,0.9992582
65,64,-0.19584507,0.5033772,1.0010257
66,65,0.52147716,0.4960138,0.9993829
67,66,-0.08245485,0.4998655,1.0001584
68,67,0.068487205,0.502007,1.0005727
69,68,-0.08207257,0.4985695,0.99960655
70,69,0.33169898,0.49580935,0.99948514
71,70,0.106088646,0.50007045,1.0010799
72,71,-0.30797562,0.5028085,0.99971926
73,72,0.33213592,0.49628314,1.00033
74,73,0.33242816,0.4972431,0.99883246
75,74,-0.15762812,0.50046784,1.0013003
76,75,-0.23208268,0.5034382,1.0007961
77,76,-0.15755183,0.49861974,0.99879473
78,77,0.18111368,0.4957074,0.9999917
79,78,0.18140885,0.4977523,0.9998559
80,79,-0.08163132,0.49942535,0.9991462
81,80,0.21939117,0.50104505,0.99935883
82,81,-0.45939988,0.5060877,1.0006163
83,82,0.3309955,0.49446312,1.000126
84,83,-0.00670272,0.5001117,1.0006963
85,84,-0.45975882,0.50395644,0.99993026
86,85,0.14462641,0.49796882,0.99976957
87,86,-0.12008816,0.50207084,1.0000118
88,87,-0.23329172,0.5048621,0.999684
89,88,-0.19500835,0.50117034,0.99997956
90,89,-0.42100805,0.5043648,1.000319
91,90,-0.346779,0.5035555,1.0002625
92,91,-0.23349673,0.5029571,0.9995405
93,92,0.635257,0.49506706,1.0004252
94,93,0.2954295,0.49728212,1.0000614
95,94,-0.119812325,0.50233537,1.0001148
96,95,0.25768557,0.49782857,1.0004357
97,96,-0.045078862,0.5006122,0.9994728
98,97,0.030975193,0.50220555,1.001322
99,98,-0.384582,0.5012964,1.0001781
100,99,0.21881127,0.49980298,0.9999899
101,100,0.44592658,0.49551392,0.9992676
102,101,-0.45925868,0.506229,0.9998735
103,102,0.67300487,0.49513003,0.99861103
104,103,0.48309335,0.4937376,1.0003054
105,104,-0.45971036,0.50465745,0.99941576
106,105,0.40828475,0.49662182,0.99884635
107,106,0.18013667,0.49587956,1.0005505
108,107,-0.42232805,0.502007,0.99895847
109,108,-0.5730328,0.50666064,0.99996406
110,109,-0.45946813,0.50252485,0.99924016
111,110,0.030252766,0.4989883,0.99873185
112,111,-0.270745,0.5019951,0.99979156
113,112,-0.15785816,0.50300986,0.9995057
114,113,-0.23339453,0.49969593,0.9990697
115,114,-0.4222404,0.50749254,1.0005373
116,115,-0.11981009,0.5004828,1.0000001
117,116,-0.3081013,0.5021789,0.9997559
118,117,-0.49733356,0.5030324,1.0003783
119,118,0.6729344,0.49298853,0.99971884
120,119,0.10628057,0.49950373,1.0001152
121,120,0.06842574,0.4995766,0.99906725
122,121,-0.45991307,0.5026662,0.9995014
123,122,0.03011815,0.50084424,0.99965465
124,123,-0.119974785,0.50110346,0.9997201
125,124,-0.15759265,0.5033648,1.0004264
126,125,-0.53491694,0.50352675,1.0002745
127,126,-0.49655896,0.5035178,1.0007641
128,127,-0.38474473,0.5051857,0.99981934
129,128,0.10601245,0.5029765,1.0003501
130,129,0.06831427,0.5002458,1.0000637
131,130,-0.7254067,0.5062833,0.9995238
132,131,0.4836448,0.4959089,1.0000725
133,132,0.36974534,0.49890995,0.9997867
134,133,0.18156351,0.4975212,0.9999337
135,134,0.18118115,0.5021434,1.0003625
136,135,0.52145684,0.4956816,0.99967456
137,136,0.06799742,0.50002724,1.000135
138,137,0.3323682,0.49709576,0.99994326
139,138,-0.15798166,0.49930763,0.99979395
