itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.6130364,0.5175701,0.95672065,1.0302284
2,1,-1.1021703,-1.1401788,1.3615881,0.8906526
3,2,-0.8748217,-0.5819074,1.2269853,0.6884428
4,3,1.7931598,1.7757258,0.96896243,1.3921869
5,4,-2.3264194,-2.0917134,1.867371,0.8608812
6,5,-2.8395934,-2.772997,1.7786827,0.9356156
7,6,1.0834193,1.1638371,0.69691336,1.3155801
8,7,-0.2531596,0.28086114,1.1345582,1.4048415
9,8,-0.71313924,-1.0849195,0.98627985,1.0386734
10,9,2.6825595,2.3346615,0.7321902,1.3368427
11,10,0.81245375,0.9659641,0.85721594,0.9647222
12,11,-0.6965678,-0.5279628,1.2827412,0.90928155
13,12,0.4328987,0.5008911,0.8201892,1.0967457
14,13,-0.15226762,0.21027473,1.130876,1.1146225
15,14,1.4086955,0.73376954,0.7876082,1.0505661
16,15,-0.573787,-0.44414452,1.197414,0.75192934
17,16,-1.6745093,-1.7903553,1.4809117,0.79940397
18,17,-0.06852528,0.95829916,1.0394862,1.262007
19,18,-1.3086184,-1.117905,1.5660973,0.81941265
20,19,0.7017262,0.87216645,0.8267519,1.2794195
21,20,1.5471252,1.748937,0.5483004,1.1694037
22,21,-1.0061609,-0.8387956,1.2093582,0.6337733
23,22,-0.6702473,-1.0766028,1.1392474,1.1699864
24,23,1.4907051,1.778491,0.56670755,1.2325231
25,24,-1.5058984,-1.1075795,1.6675094,0.77099544
26,25,1.2930033,0.883045,0.9997233,1.0405369
27,26,0.35642496,-0.0037423645,0.8230869,1.156769
28,27,-0.6566407,-0.46904564,1.1316929,0.7275942
29,28,-0.58497435,-0.8318479,1.0384243,0.84478515
30,29,0.11462017,0.28890952,0.9665414,0.8880114
31,30,0.4217514,0.5707256,0.940461,1.2338803
32,31,-0.8733848,-0.010172485,1.4938161,0.97269523
33,32,0.108792126,0.40928724,1.3899735,0.98313534
34,33,0.10120427,0.9848,1.0179763,1.4949651
35,34,0.020851603,-0.5419004,0.84235334,1.2227924
36,35,-0.49124035,-0.091019824,1.4199504,0.8539752
37,36,1.0513554,1.4871266,0.80901814,1.1509162
38,37,0.32087263,0.4038277,1.0169754,1.2043575
39,38,-0.30683646,0.052512594,1.4864432,0.9926423
40,39,0.97620773,0.9391498,0.696631,1.3348222
41,40,0.5484499,0.99568284,0.99815774,1.3128055
42,41,-0.8580883,-0.5668857,1.2348146,0.88980114
43,42,0.76772094,0.7774523,0.9057258,1.2260826
44,43,1.133683,1.0071834,0.80884,1.2854353
45,44,-0.9583734,-0.6088454,1.2464362,1.0893134
46,45,1.489213,0.8512829,0.9831798,0.8914144
47,46,-0.60278666,-0.25252324,1.4848717,0.6024381
48,47,1.2990541,1.20387,1.0460757,0.8639106
49,48,-0.6611,-0.6121757,1.2481376,0.8830158
50,49,-0.809747,-0.5495707,1.1664099,0.6473542
