id,sid,theta,k,c
1,0,-1.6998103,0.50039065,1.0001968
2,1,0.31527495,0.496726,0.997661
3,2,1.2046014,0.49221915,1.0005352
4,3,-0.3358489,0.5010853,1.0015492
5,4,1.3998364,0.5017761,1.0009533
6,5,-0.23204038,0.50384724,1.000184
7,6,-0.17694831,0.5033993,1.0017995
8,7,-0.1831549,0.50294834,1.0012527
9,8,0.26465687,0.4948288,1.0007106
10,9,-1.6580254,0.5031442,0.9999795
11,10,-0.2945763,0.49434602,0.9970609
12,11,-1.2637095,0.49975535,1.0033269
13,12,2.2588851,0.49905238,1.000952
14,13,0.55808043,0.49995208,0.99834627
15,14,-1.2558231,0.5081048,0.99890167
16,15,0.2104199,0.49962035,0.99992883
17,16,0.9878216,0.49978375,0.999182
18,17,0.77955824,0.4985875,1.0005896
19,18,0.7739683,0.5016001,0.9993369
20,19,-0.15490276,0.50183237,1.001339
21,20,0.52781165,0.49367395,0.9985886
22,21,-0.140773,0.5003516,1.0016817
23,22,0.1471522,0.50062215,1.0001769
24,23,-0.21232653,0.50098264,0.99931425
25,24,0.25730693,0.5054111,0.99953914
26,25,-0.011105836,0.496674,1.002015
27,26,0.51122457,0.4923684,0.99929523
28,27,0.40249705,0.4973603,0.99744946
29,28,-0.22613621,0.50164545,1.00162
30,29,0.9368623,0.50692856,1.0009897
31,30,1.2294114,0.49748874,0.9999286
32,31,-1.0663047,0.5031281,0.9996674
33,32,-0.08850511,0.49929738,0.99731475
34,33,0.7786298,0.50027394,0.9999603
35,34,0.73009324,0.4948638,1.0020152
36,35,-0.15849292,0.49779618,1.0011727
37,36,0.21009958,0.50240123,0.99834305
38,37,-1.4321742,0.5015013,1.0002471
39,38,0.6348068,0.49193054,0.9974011
40,39,-0.49092388,0.49792248,1.0008862
41,40,0.08586943,0.49558222,0.9985607
42,41,-0.67191553,0.50912285,1.0014489
43,42,-2.1044397,0.5003346,0.9999005
44,43,1.2132959,0.4962075,0.9986506
45,44,-0.48475894,0.48888135,1.0024098
46,45,1.1206083,0.49672112,0.99885535
47,46,0.38362664,0.4940218,1.0007983
48,47,-1.1055703,0.49885944,0.99822307
49,48,0.6105856,0.5032926,0.9993057
50,49,-0.61492616,0.50525814,1.0020294
51,50,0.19386175,0.5077464,1.0001539
52,51,0.06959007,0.5018043,0.99891776
53,52,0.97535276,0.49663305,1.000472
54,53,0.40295136,0.49905404,0.9996653
55,54,0.79181194,0.5017655,1.0009254
56,55,0.07981651,0.5008134,1.0015373
57,56,0.184356,0.5034105,1.0008867
58,57,-0.35544467,0.50214636,1.000149
