itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.56026995,0.4565165,1.0,1.0
2,1,-1.1375194,-1.1963841,1.0,1.0
3,2,-0.7512384,-0.63250387,1.0,1.0
4,3,1.8438771,1.7888948,1.0,1.0
5,4,-2.2561734,-2.332733,1.0,1.0
6,5,-2.8180048,-2.9427223,1.0,1.0
7,6,0.9760594,1.0491328,1.0,1.0
8,7,-0.06880839,0.048241455,1.0,1.0
9,8,-0.82266504,-0.9469212,1.0,1.0
10,9,2.3544147,2.1905296,1.0,1.0
11,10,0.70709366,0.8277073,1.0,1.0
12,11,-0.68440527,-0.6305339,1.0,1.0
13,12,0.39639693,0.41881084,1.0,1.0
14,13,-0.062342685,0.05012616,1.0,1.0
15,14,1.0210238,0.77704585,1.0,1.0
16,15,-0.48726803,-0.50779504,1.0,1.0
17,16,-1.6420227,-1.8118379,1.0,1.0
18,17,0.28253344,0.5906258,1.0,1.0
19,18,-1.2855104,-1.2675717,1.0,1.0
20,19,0.7343606,0.7469679,1.0,1.0
21,20,1.2532815,1.3463951,1.0,1.0
22,21,-0.83521384,-0.8182664,1.0,1.0
23,22,-0.8667168,-1.0253166,1.0,1.0
24,23,1.2949376,1.3765785,1.0,1.0
25,24,-1.3554953,-1.3596276,1.0,1.0
26,25,1.1028802,0.9284793,1.0,1.0
27,26,0.20930332,0.0380856,1.0,1.0
28,27,-0.58023286,-0.485633,1.0,1.0
29,28,-0.62639666,-0.6971964,1.0,1.0
30,29,0.12315129,0.18977493,1.0,1.0
31,30,0.46415415,0.4758457,1.0,1.0
32,31,-0.6204202,-0.46207497,1.0,1.0
33,32,0.21491027,0.22646493,1.0,1.0
34,33,0.4896581,0.662691,1.0,1.0
35,34,-0.20561033,-0.3955419,1.0,1.0
36,35,-0.35608396,-0.34923294,1.0,1.0
37,36,1.0801702,1.2096097,1.0,1.0
38,37,0.3349435,0.34219372,1.0,1.0
39,38,-0.1898761,-0.20411175,1.0,1.0
40,39,0.89957243,0.8253344,1.0,1.0
41,40,0.7197983,0.8305616,1.0,1.0
42,41,-0.76725495,-0.70998317,1.0,1.0
43,42,0.7630511,0.69815886,1.0,1.0
44,43,1.0382949,0.9588399,1.0,1.0
45,44,-0.8929199,-0.8346042,1.0,1.0
46,45,1.1400293,0.9134672,1.0,1.0
47,46,-0.48045143,-0.43618166,1.0,1.0
48,47,1.143463,1.1028944,1.0,1.0
49,48,-0.675023,-0.6474907,1.0,1.0
50,49,-0.680015,-0.56299216,1.0,1.0
