id,sid,theta,k,c
1,0,-1.696139,0.5057132,1.0014055
2,1,0.2782287,0.5066116,0.9994175
3,2,1.2846943,0.49863285,1.002404
4,3,0.13337138,0.5000853,0.9998929
5,4,1.4791119,0.49753705,1.0002313
6,5,-0.6789187,0.5000925,0.99947447
7,6,0.01751455,0.49403724,1.000316
8,7,-0.030466683,0.4957559,1.0003974
9,8,0.4076528,0.48505974,1.0012889
10,9,-1.2250072,0.49967194,0.9997888
11,10,-0.2084039,0.5095101,1.0003328
12,11,-1.3812383,0.5101189,0.99965644
13,12,0.9121568,0.50795335,0.9989567
14,13,0.5481011,0.5083542,1.0038929
15,14,-1.1576157,0.50058246,0.9992283
16,15,0.2190003,0.49283457,0.99972314
17,16,0.38704082,0.49243927,1.0009909
18,17,1.0067047,0.49406236,1.0001881
19,18,0.8410538,0.49251312,1.0007159
20,19,0.12436475,0.49797788,1.0008894
21,20,0.92632985,0.5024726,1.0007886
22,21,-0.33954403,0.4970185,1.0007259
23,22,-0.23506844,0.50402576,0.9986063
24,23,0.31100896,0.49599263,0.9966578
25,24,0.5545982,0.49140286,1.0001086
26,25,-0.10436749,0.49998936,1.0023897
27,26,0.533011,0.5067567,0.9998006
28,27,0.7320784,0.4992688,1.0006301
29,28,-0.006116468,0.50346285,0.996753
30,29,0.54382634,0.49768838,0.9982758
31,30,1.2394227,0.49756598,1.000249
32,31,-1.081503,0.5004222,1.0020022
33,32,-0.03889531,0.4891412,0.99628085
34,33,1.2889543,0.5008379,1.0008602
35,34,0.32249105,0.49744353,1.0033585
36,35,-0.6635752,0.49603456,0.9995902
37,36,0.3634352,0.4941022,1.0013198
38,37,-1.0492761,0.50252604,0.99826384
39,38,0.30975696,0.5021976,1.000065
40,39,-0.66149545,0.49823362,1.0004314
41,40,-0.2128795,0.49898237,0.9994052
42,41,-0.85195446,0.48986313,1.0014263
43,42,-1.8790501,0.50786024,0.9999518
44,43,1.40006,0.49247953,1.0007516
45,44,-0.7767907,0.5016388,1.004762
46,45,1.1136392,0.49336505,1.002496
47,46,0.70832866,0.49846432,1.0015426
48,47,-1.0427954,0.49465996,0.9984611
49,48,0.9134322,0.5003262,0.9979584
50,49,-0.91809416,0.49715135,1.0013922
51,50,-0.20848271,0.5010043,0.99916375
52,51,0.15410759,0.49449554,0.99864703
53,52,0.33385408,0.4882559,0.9983815
54,53,0.59308845,0.50014335,1.0026351
55,54,0.45680746,0.5001752,0.9986705
56,55,0.7526657,0.49641514,0.9998486
57,56,-0.48998797,0.50225705,0.99814075
58,57,-0.01761421,0.49648944,0.9992332
59,58,0.89147484,0.50030905,1.0014786
60,59,0.793275,0.49664593,0.99979246
61,60,-0.20743647,0.504751,1.000489
62,61,-0.21701449,0.5061859,0.99966633
63,62,0.017729133,0.5009505,1.0017773
64,63,-0.7249533,0.51450884,1.0004678
65,64,-0.0646111,0.49743742,1.0019492
66,65,1.1918999,0.4942626,0.9979052
67,66,-0.031012842,0.49632192,0.99834573
68,67,0.3220903,0.4968664,0.9997052
69,68,-0.29356423,0.5062421,0.9999703
70,69,0.86557186,0.4963736,0.9991327
71,70,0.40825444,0.5034416,0.9991475
72,71,-0.76305735,0.5054321,0.9988602
73,72,0.6905483,0.49938166,0.99858624
74,73,0.9030068,0.50046194,1.0012739
75,74,0.33445925,0.5063909,1.0022109
76,75,-0.7876544,0.49593073,0.9990594
77,76,0.50314677,0.5072727,0.9978712
78,77,0.26725352,0.5057631,0.99936086
79,78,0.33559364,0.4903595,1.0016731
80,79,0.78970116,0.50154984,1.0019997
81,80,0.4834746,0.49007994,0.99911803
82,81,-1.547688,0.5070048,0.9995367
83,82,1.1630822,0.49034724,1.0004495
84,83,0.075215,0.49350318,1.0020934
85,84,-1.0736836,0.5041428,1.0000494
86,85,-0.34036484,0.5001557,1.0012739
87,86,-0.34272125,0.50939065,1.0009232
88,87,-0.3233665,0.5052518,0.99888194
89,88,0.37171295,0.50923556,1.0016515
90,89,-0.9554279,0.5048945,1.0007116
91,90,-0.9148886,0.4998895,0.9977842
92,91,-0.35483414,0.50580204,0.99768966
93,92,1.0097255,0.49693826,0.9971089
94,93,0.9579209,0.4939577,0.9994282
95,94,0.23280388,0.5098598,0.9978448
96,95,0.11122753,0.49519187,1.003923
97,96,-0.0062546823,0.50814694,0.9990682
98,97,-0.5201403,0.5033451,1.0001327
99,98,-0.47282526,0.5085978,0.99815404
100,99,0.21651123,0.50390065,1.0029386
101,100,0.3096462,0.502127,1.0010402
102,101,-0.91578263,0.5053825,0.99939436
103,102,1.8084866,0.4948975,0.9992247
104,103,1.4852115,0.49404097,0.99942017
105,104,-0.60752934,0.5109169,1.0009694
