id itemkey sequence_number resp
1 1 12 0
2 1 32 0
3 1 29 1
4 1 11 1
5 1 22 1
6 1 12 1
7 1 26 1
8 1 35 1
9 1 10 1
10 1 31 0
11 1 37 0
12 1 21 0
13 1 40 0
14 1 35 1
15 1 41 0
16 1 28 1
17 1 12 0
18 1 49 1
19 1 41 1
20 1 37 0
21 1 13 1
22 1 5 1
23 1 15 1
24 1 46 1
25 1 44 0
26 1 38 1
27 1 12 0
28 1 10 1
29 1 41 0
30 1 29 1
31 1 50 0
32 1 45 0
33 1 46 0
34 1 45 1
35 1 3 0
36 1 24 0
37 1 20 0
38 1 17 0
39 1 33 0
40 1 14 1
41 1 25 0
42 1 48 0
43 1 24 0
44 1 11 1
45 1 6 0
46 1 41 1
47 1 44 1
48 1 50 0
49 1 42 0
50 1 3 0
51 1 35 1
52 1 44 0
53 1 13 1
54 1 5 1
55 1 30 1
56 1 18 1
57 1 40 0
58 1 43 0
59 1 18 1
60 1 16 0
61 1 13 0
62 1 13 0
63 1 46 1
64 1 8 0
65 1 4 0
66 1 7 1
67 1 33 0
68 1 49 1
69 1 2 1
70 1 40 1
71 1 14 0
72 1 28 0
73 1 23 1
74 1 30 1
75 1 2 0
76 1 17 0
77 1 18 0
78 1 41 1
79 1 49 1
80 1 42 1
81 1 6 1
82 1 46 0
83 1 27 1
84 1 31 1
85 1 33 0
86 1 18 0
87 1 27 0
88 1 8 0
89 1 40 0
90 1 3 0
91 1 4 1
92 1 26 0
93 1 33 1
94 1 43 0
95 1 47 0
96 1 23 0
97 1 36 0
98 1 36 0
99 1 25 0
100 1 7 0
101 1 12 1
102 1 39 0
103 1 45 1
104 1 18 1
105 1 39 0
106 1 10 0
107 1 13 0
108 1 5 0
109 1 13 0
110 1 5 0
111 1 20 0
112 1 25 1
113 1 18 1
114 1 34 0
115 1 12 0
116 1 4 1
117 1 20 0
118 1 2 0
119 1 11 0
120 1 18 0
121 1 10 0
122 1 9 0
123 1 22 0
124 1 20 0
125 1 45 0
126 1 20 0
127 1 12 0
128 1 16 0
129 1 27 1
130 1 2 0
131 1 44 0
132 1 34 1
133 1 49 1
134 1 1 1
135 1 26 0
136 1 22 1
137 1 25 1
