id,sid,theta,k,c
1,0,-1.8843869,0.7574418,1.4304433
2,1,0.3459578,1.2565134,1.1438271
3,2,1.3696425,0.7786288,1.0484102
4,3,0.2468271,0.70340747,1.1627445
5,4,1.2753043,-0.20754303,0.79203236
6,5,-0.60785866,0.23723142,0.5052783
7,6,0.09573002,-0.21070087,1.2392931
8,7,0.10889634,0.28348172,1.0359178
9,8,0.69354516,0.13988692,1.0077039
10,9,-1.2862062,-0.13369682,1.2687271
11,10,-0.40737697,0.9777898,1.1719413
12,11,-1.3875798,1.3499023,1.2863759
13,12,0.8545776,1.9470345,1.5721081
14,13,0.42154506,1.2289356,1.7428243
15,14,-1.0941495,0.6284149,0.86272854
16,15,0.40202358,0.9792787,0.8901138
17,16,0.6424297,-0.22761105,1.2699025
18,17,1.092999,0.80090505,1.219279
19,18,0.96709836,-0.10509625,0.9645123
20,19,0.2315806,0.698767,1.1107596
21,20,0.8236792,0.9121118,0.78732854
22,21,-0.19028495,0.08146858,1.1413109
23,22,-0.38105142,0.6613413,0.7499979
24,23,0.32381326,0.32048026,0.51980996
25,24,0.35281605,-0.5068142,1.2307045
26,25,-0.19154136,0.35579947,1.3013166
27,26,0.4202599,0.88522184,0.8189187
28,27,0.81133467,1.1402289,1.2546786
29,28,-0.28751394,-0.64934814,1.1121379
30,29,0.63169324,0.31338763,0.348513
31,30,1.1214012,0.3867845,0.94325626
32,31,-0.9554819,0.5410451,1.2934783
33,32,0.032131083,-0.429304,0.69082457
34,33,0.95286775,0.52013654,1.6827446
35,34,0.31471375,0.38457215,1.6199112
36,35,-0.34511957,0.23191875,0.7079556
37,36,0.3737893,-0.013479173,1.1365032
38,37,-1.0943784,0.5200083,0.8746784
39,38,0.24581957,0.77502257,0.95202076
40,39,-0.46469,0.7974685,0.76241577
41,40,-0.2796916,0.33881256,0.57491446
42,41,-0.6196237,0.017740823,1.3549649
43,42,-2.426424,0.49337772,0.92552626
44,43,1.6618675,1.0478091,1.079757
45,44,-0.5974858,0.5494412,1.5034971
46,45,1.3474754,0.95871466,1.1218284
47,46,0.4762885,-0.16128533,1.0315739
48,47,-1.004328,-0.7021575,1.452409
49,48,0.97162676,0.7675153,1.1031556
50,49,-0.8594156,-0.20310926,1.3916912
51,50,-0.36188883,-0.07398628,0.8475827
52,51,0.22811897,0.12659557,1.1239196
53,52,0.23928756,-0.48306456,1.1661413
54,53,0.50564635,0.90548325,1.1315814
55,54,0.41786012,0.14401631,0.6996032
56,55,0.42364043,-0.37378904,0.9340846
57,56,-0.3688055,1.197546,0.8045805
58,57,0.09496815,0.1314064,1.215838
59,58,0.9625897,0.9931953,1.4697349
60,59,1.0791117,0.8636995,1.3512808
61,60,-0.25777814,0.44706988,0.7166147
62,61,-0.18019894,1.3481364,1.3503329
63,62,-0.090871625,0.44868734,1.5434798
64,63,-0.7611124,1.4343365,1.2191504
65,64,0.2182912,0.83438826,1.0549798
66,65,1.2354002,-0.17135482,0.8983348
67,66,-0.058552746,-0.56921256,0.90849644
68,67,0.3670531,0.12926683,0.6903555
69,68,-0.3261145,0.6927569,1.1192554
70,69,0.60748714,-0.5812305,1.3085442
71,70,0.17866173,0.3424392,0.9940022
