itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,0.94703496,0.30591655,0.67800355,1.9212441
2,1,-0.0026867928,-1.9318132,2.042061,2.1601977
3,2,-1.7347226,0.18928671,1.2574043,1.560752
4,3,0.7156378,2.4234161,1.8236644,1.8549144
5,4,-2.3387642,-1.3480021,1.9309622,1.4441429
6,5,-3.1493778,-2.2862852,2.5694504,1.0750328
7,6,0.51379114,1.0141628,0.864743,2.2423608
8,7,-0.88889176,0.8559427,2.2967694,3.1703897
9,8,0.14101522,-1.31953,1.8798944,2.4472017
10,9,2.5401123,1.5301588,0.7777495,2.1243112
11,10,0.2943166,1.495528,1.5952773,0.7608125
12,11,-1.3397187,0.34232226,2.089247,1.4150248
13,12,1.0753891,-0.059904825,1.1011907,1.4563822
14,13,-0.10946582,0.041374356,1.1740816,1.2320766
15,14,1.944632,-0.17519705,1.5038599,1.863437
16,15,0.5890073,-1.0918101,2.0519319,3.1584194
17,16,-0.6118585,-1.8351952,1.5032734,2.779931
18,17,-0.55807024,1.2885127,2.324854,3.5106556
19,18,-1.3895214,-0.8144918,1.3191407,1.247207
20,19,1.0290471,0.11598395,2.0297449,1.1259652
21,20,0.42886788,1.9127715,1.4232951,1.3122665
22,21,-1.6452961,0.13685001,1.564172,1.5422735
23,22,-0.4929494,-0.9162556,0.9582906,2.3265285
24,23,0.7485873,2.2253506,1.2258357,0.92489994
25,24,-1.7819325,-0.60686135,1.9709653,1.0476735
26,25,1.0915786,0.30728483,2.863984,1.0591561
27,26,1.0038449,-0.69452184,1.7466385,1.9721648
28,27,-0.4017973,-0.57655686,2.3658829,0.48985407
29,28,-0.41757128,-1.028779,2.917187,0.4196786
30,29,0.14680368,0.18645933,1.5735295,0.81348866
31,30,0.8220587,0.00567775,1.1662023,1.3725575
32,31,-1.3043623,0.37887046,1.9293063,2.0208135
33,32,0.8371123,-0.3918075,1.5488282,2.133645
34,33,-0.3574598,1.0360221,1.5481857,3.0179622
35,34,0.534994,-1.0096351,1.2687647,1.6880877
36,35,-1.2050514,0.62220436,2.3381507,2.0853148
37,36,0.17457491,2.2072217,1.7688937,1.2561358
38,37,1.0049238,-0.6774233,3.6521194,1.8404238
39,38,0.70785755,-0.84878343,2.6197054,2.3698115
40,39,1.817794,-0.09706505,1.8768655,1.974072
41,40,0.302645,1.1970378,2.2320628,0.9072692
42,41,-0.030358113,-0.97495717,1.0679901,2.3702512
43,42,1.080254,0.17670561,1.1462922,1.8071158
44,43,-0.07623178,1.6513163,1.6059283,2.2184954
45,44,-0.71336704,-0.6357991,1.0475785,1.7441932
46,45,1.5890568,0.42059845,1.0501903,1.2708691
47,46,-1.1090642,0.47446325,1.9873375,1.2654469
48,47,1.1637928,0.58343965,3.0099113,0.7673956
49,48,-0.11689696,-1.4542457,1.924927,0.821539
50,49,-1.4695408,0.40698874,1.8636087,1.2323542
