itemkey,ik,beta_e,beta_l,alpha_e,alpha_l
1,0,1.6169754,-0.112220556,1.0,1.0
2,1,-0.5150189,-1.9961967,1.0,1.0
3,2,-2.2795224,0.5341742,1.0,1.0
4,3,1.807608,2.5703032,1.0,1.0
5,4,-2.092745,-2.8859975,1.0,1.0
6,5,-2.6418564,-4.3414927,1.0,1.0
7,6,0.18244721,2.8105896,1.0,1.0
8,7,-0.6871508,0.9398783,1.0,1.0
9,8,0.18551008,-2.3710134,1.0,1.0
10,9,4.4969463,1.8517344,1.0,1.0
11,10,-0.13403803,2.5289485,1.0,1.0
12,11,-1.6461602,0.2824605,1.0,1.0
13,12,-0.109167024,1.3527592,1.0,1.0
14,13,-0.52654666,0.7910569,1.0,1.0
15,14,3.2156782,-0.14219798,1.0,1.0
16,15,0.5797432,-1.6095046,1.0,1.0
17,16,-0.9566237,-3.2511034,1.0,1.0
18,17,-0.71038634,2.262942,1.0,1.0
19,18,-1.9466408,-0.73094153,1.0,1.0
20,19,0.46653646,1.521133,1.0,1.0
21,20,0.36719084,4.0191684,1.0,1.0
22,21,-2.0645063,0.20810409,1.0,1.0
23,22,-0.817475,-0.99183697,1.0,1.0
24,23,0.6249995,3.2275996,1.0,1.0
25,24,-1.5514351,-1.1816905,1.0,1.0
26,25,2.5409877,0.33642355,1.0,1.0
27,26,1.6468894,-1.0404727,1.0,1.0
28,27,-2.0846317,0.8027714,1.0,1.0
29,28,0.3071527,-1.7198901,1.0,1.0
30,29,-0.8447599,1.5564014,1.0,1.0
31,30,0.17568024,1.180876,1.0,1.0
32,31,-1.4212391,0.37240094,1.0,1.0
33,32,0.09419272,0.6841755,1.0,1.0
34,33,-0.23036611,1.9714049,1.0,1.0
35,34,0.69539756,-1.1892709,1.0,1.0
36,35,-0.611014,0.1019698,1.0,1.0
37,36,0.3383459,3.1337943,1.0,1.0
38,37,1.0794367,-0.026943278,1.0,1.0
39,38,0.20998196,-0.36945283,1.0,1.0
40,39,1.9411007,0.39167818,1.0,1.0
41,40,0.15162803,2.0565796,1.0,1.0
42,41,-1.521759,0.04113796,1.0,1.0
43,42,1.286494,0.6354226,1.0,1.0
44,43,2.5235243,0.31367734,1.0,1.0
45,44,-1.3558806,-0.33334133,1.0,1.0
46,45,3.077385,0.12643494,1.0,1.0
47,46,-1.5504198,0.6469758,1.0,1.0
48,47,2.3708818,0.6324287,1.0,1.0
49,48,-1.2080679,-0.027402803,1.0,1.0
50,49,-2.4751081,0.79254615,1.0,1.0
