id,sid,theta,k,c
1,0,-2.4401202,0.6336909,1.0649036
2,1,0.27988833,0.073027216,0.18795948
3,2,1.6660731,-0.13810626,1.299403
4,3,-1.0012746,0.05323754,1.424593
5,4,2.0463846,0.8804001,1.7270478
6,5,-0.44666162,1.7202017,1.449609
7,6,-0.12378508,0.06718998,1.2350805
8,7,-0.0023495872,0.71016544,1.1603996
9,8,0.9761463,-0.7412946,1.6969808
10,9,-2.0358565,0.7389712,0.7711764
11,10,-0.20636919,-0.5015298,1.431139
12,11,-1.2309812,0.77349746,1.3781449
13,12,2.945291,0.8926945,0.8353387
14,13,1.2294066,0.40137616,0.9611676
15,14,-1.3501018,1.085595,0.8034616
16,15,0.29514122,0.48142412,0.92832464
17,16,1.3475165,0.8518224,1.0256749
18,17,1.0423611,-0.30493435,1.0430686
19,18,1.4918584,0.75461423,1.0542833
20,19,-0.38379118,0.14418072,1.2598023
21,20,0.9327597,-0.2789631,1.2591715
22,21,0.08297986,0.21980803,0.38275176
23,22,-0.024942186,1.3154949,1.492779
24,23,-0.2984489,0.67257243,0.5389217
25,24,0.6852961,0.04535976,1.0600853
26,25,0.0058534425,1.4222504,1.3112643
27,26,1.2376031,0.6589683,0.91526264
28,27,0.72564286,-0.4746811,1.1101718
29,28,-0.17361593,0.017302832,1.1077756
30,29,1.2007387,1.8452691,1.8102732
31,30,1.578247,0.854431,1.3932611
32,31,-1.6100718,0.90812767,0.8109267
33,32,0.19703536,0.8971742,1.0419651
34,33,0.7466624,1.2787994,1.5628563
35,34,0.8037461,0.8895464,1.3426086
36,35,0.071509995,-0.40435648,1.4016271
37,36,-0.04574158,2.0567758,1.8124831
38,37,-1.9400814,0.9335672,0.73287445
39,38,1.2083561,-0.4913805,1.1689125
40,39,-0.45331633,-0.57478666,1.5021138
41,40,0.019389527,0.7552534,0.76812667
42,41,-0.81393147,0.88909835,1.1069025
43,42,-2.5921438,-0.21674064,1.1079881
44,43,1.9265857,-0.11030845,0.84803843
45,44,-0.3338869,-0.43143132,1.6415452
46,45,1.5342777,0.10703357,0.6674194
47,46,0.99469614,0.8071547,0.90859383
48,47,-0.944705,0.436605,0.9306767
49,48,0.7927012,0.92874634,1.5416045
50,49,-0.83613217,0.7634832,1.3241296
51,50,0.24738818,0.75575507,0.90884835
52,51,0.15656732,0.8473189,1.3042203
53,52,0.92762107,0.6346027,1.1999036
54,53,0.46273348,1.206608,0.93297046
55,54,0.7759534,0.8871571,1.7531712
56,55,0.14177628,0.93359435,1.3500681
57,56,0.4295975,1.0953981,0.9838139
58,57,-0.0958656,0.13303001,0.5853528
59,58,1.7846138,-0.1542545,1.0377371
60,59,0.094866775,0.23910765,0.8391083
61,60,-0.3037616,0.593244,1.0430087
62,61,-1.0705712,0.32056966,0.63426715
63,62,-0.19114766,1.3605065,1.0970778
64,63,-0.849266,0.8663866,1.2569968
65,64,-0.41540918,0.71907556,1.5593567
66,65,2.0057778,0.70552075,1.1512884
67,66,-0.081681214,0.0837897,1.1567628
68,67,0.20578015,1.492661,1.4066207
69,68,-0.025224335,-0.22503537,1.3359942
