"id","itemkey","sequence_number","resp"
1,1,26,0
2,1,16,0
3,1,7,1
4,1,19,0
5,1,30,1
6,1,36,0
7,1,10,0
8,1,23,0
9,1,50,0
10,1,36,0
11,1,44,0
12,1,3,0
13,1,41,1
14,1,23,1
15,1,14,0
16,1,13,1
17,1,2,0
18,1,43,1
19,1,31,1
20,1,19,0
21,1,1,1
22,1,29,0
23,1,30,0
24,1,31,1
25,1,28,0
26,1,47,0
27,1,46,0
28,1,26,1
29,1,33,0
30,1,11,0
31,1,20,0
32,1,50,0
33,1,50,0
34,1,30,0
35,1,24,0
36,1,1,1
37,1,19,1
38,1,18,0
39,1,47,1
40,1,48,0
41,1,11,0
42,1,37,0
43,1,37,0
44,1,10,1
45,1,4,1
46,1,38,0
47,1,4,0
48,1,30,0
49,1,44,0
50,1,13,0
51,1,32,1
52,1,22,0
53,1,7,0
54,1,34,0
55,1,43,1
56,1,46,1
57,1,31,1
58,1,40,0
59,1,32,1
60,1,1,1
61,1,30,0
62,1,32,0
63,1,13,0
64,1,31,0
65,1,4,0
66,1,16,0
67,1,49,0
68,1,35,0
69,1,35,1
70,1,9,1
71,1,4,0
72,1,31,0
73,1,46,1
74,1,46,0
75,1,20,1
76,1,41,1
77,1,15,0
78,1,24,1
79,1,49,0
80,1,10,1
81,1,19,1
82,1,11,0
83,1,5,1
84,1,18,0
85,1,20,0
86,1,9,1
87,1,5,0
88,1,7,0
89,1,30,0
90,1,31,0
91,1,27,0
92,1,29,0
93,1,44,1
94,1,32,1
95,1,14,0
96,1,39,0
97,1,4,0
98,1,6,0
99,1,33,0
100,1,13,1
101,1,18,1
102,1,47,0
103,1,12,1
104,1,21,1
105,1,23,0
106,1,13,0
107,1,23,0
108,1,42,0
109,1,49,0
110,1,8,0
111,1,32,0
112,1,35,0
113,1,15,0
114,1,6,0
115,1,7,0
116,1,18,1
117,1,36,1
118,1,38,0
119,1,37,1
120,1,21,0
121,1,50,0
122,1,11,0
123,1,45,1
124,1,14,0
125,1,29,1
126,1,40,0
127,1,39,1
128,1,10,0
129,1,37,0
130,1,3,1
131,1,42,0
132,1,12,1
133,1,25,1
134,1,1,1
135,1,46,1
136,1,16,1
137,1,34,0
138,1,42,0
139,1,44,0
140,1,14,0
141,1,8,0
142,1,16,1
143,1,45,0
144,1,8,1
145,1,29,1
146,1,19,1
147,1,34,1
148,1,1,0
149,1,8,0
150,1,11,0
151,1,8,0
152,1,28,1
153,1,13,1
154,1,36,1
155,1,27,0
156,1,44,1
157,1,46,0
158,1,43,0
159,1,20,0
160,1,12,0
161,1,48,0
162,1,10,0
163,1,17,0
164,1,3,0
165,1,26,0
166,1,7,1
167,1,24,0
168,1,29,1
169,1,15,0
170,1,43,1
171,1,5,0
172,1,44,0
173,1,28,0
174,1,22,1
175,1,7,0
176,1,47,0
177,1,37,0
178,1,26,1
179,1,41,1
180,1,45,0
181,1,16,0
182,1,3,1
183,1,24,1
184,1,37,0
185,1,13,0
186,1,33,1
187,1,39,1
188,1,12,0
189,1,47,1
190,1,28,1
191,1,44,0
192,1,38,0
193,1,32,1
194,1,38,1
195,1,5,1
196,1,48,0
197,1,9,0
198,1,29,0
199,1,19,0
200,1,40,0
201,1,35,0
202,1,31,0
203,1,34,0
204,1,22,0
205,1,2,1
206,1,25,1
207,1,35,1
208,1,23,1
209,1,20,0
210,1,13,0
211,1,39,0
212,1,24,1
213,1,27,1
214,1,13,0
215,1,15,0
216,1,27,1
217,1,41,0
218,1,7,0
219,1,10,0
220,1,41,0
221,1,19,0
222,1,15,0
223,1,30,0
224,1,29,0
225,1,39,1
226,1,17,0
227,1,17,1
228,1,45,0
229,1,50,0
230,1,29,0
231,1,49,0
232,1,27,1
233,1,49,1
234,1,44,1
235,1,28,0
236,1,31,1
237,1,19,0
238,1,17,0
239,1,37,1
240,1,25,1
241,1,22,0
242,1,4,1
243,1,8,1
244,1,22,0
245,1,18,0
246,1,24,1
247,1,11,0
248,1,21,0
249,1,31,0
250,1,7,1
251,1,20,1
252,1,28,0
253,1,25,0
254,1,16,0
255,1,33,1
256,1,29,1
257,1,1,1
258,1,40,0
259,1,23,1
260,1,9,1
261,1,4,0
262,1,48,0
263,1,23,0
264,1,24,1
265,1,28,1
266,1,12,0
267,1,12,0
268,1,17,0
269,1,50,0
270,1,49,1
271,1,16,1
272,1,1,0
273,1,21,0
274,1,16,0
275,1,35,0
276,1,13,0
277,1,42,0
278,1,1,1
279,1,36,0
280,1,32,0
281,1,9,0
282,1,12,1
283,1,19,0
284,1,2,0
285,1,47,0
286,1,42,1
287,1,19,1
288,1,3,1
289,1,17,0
290,1,21,1
291,1,31,0
292,1,3,1
293,1,44,1
294,1,46,1
295,1,9,0
296,1,34,1
297,1,14,0
298,1,48,1
299,1,16,0
300,1,22,0
301,1,36,1
302,1,16,1
303,1,13,1
304,1,14,1
305,1,49,1
306,1,34,0
307,1,37,0
308,1,18,0
309,1,7,0
310,1,42,0
311,1,30,0
312,1,46,0
313,1,8,0
314,1,44,0
315,1,2,0
316,1,25,0
317,1,29,1
318,1,39,1
319,1,39,0
320,1,8,0
321,1,25,0
322,1,13,1
323,1,47,0
324,1,13,1
325,1,47,0
326,1,20,1
327,1,25,0
328,1,17,0
329,1,42,0
330,1,18,1
331,1,44,0
332,1,30,0
333,1,8,0
334,1,8,1
335,1,38,1
336,1,44,0
337,1,49,0
338,1,23,1
339,1,24,0
340,1,1,1
341,1,47,0
342,1,25,1
343,1,39,1
344,1,27,0
345,1,44,1
346,1,36,0
347,1,7,0
348,1,24,1
349,1,27,1
350,1,45,0
351,1,6,1
352,1,28,0
353,1,39,0
354,1,21,0
355,1,46,0
356,1,25,0
357,1,5,1
358,1,30,1
359,1,28,1
360,1,33,1
361,1,21,1
362,1,33,0
363,1,13,1
364,1,47,1
365,1,22,1
366,1,5,0
367,1,28,0
368,1,4,0
369,1,24,0
370,1,10,0
371,1,18,0
372,1,23,1
373,1,28,0
374,1,39,1
375,1,20,0
376,1,28,0
377,1,27,0
378,1,49,1
379,1,26,1
380,1,48,0
381,1,35,0
382,1,7,0
383,1,37,0
384,1,45,0
385,1,40,1
386,1,11,1
387,1,9,1
388,1,24,1
389,1,48,0
390,1,24,0
391,1,49,0
392,1,30,0
393,1,32,0
394,1,28,0
395,1,28,1
396,1,29,0
397,1,8,0
398,1,18,1
399,1,12,1
400,1,11,1
401,1,39,1
402,1,20,0
403,1,50,0
404,1,9,0
405,1,22,1
406,1,1,1
407,1,38,0
408,1,2,1
409,1,24,1
410,1,43,1
411,1,42,0
412,1,45,0
413,1,35,0
414,1,27,0
415,1,5,0
416,1,31,0
417,1,40,0
418,1,30,0
419,1,42,1
420,1,44,0
421,1,6,1
422,1,37,0
423,1,43,1
424,1,44,0
425,1,32,0
426,1,49,1
427,1,3,1
428,1,27,0
429,1,38,0
430,1,33,0
431,1,46,0
432,1,12,1
433,1,42,0
434,1,41,0
435,1,3,1
436,1,45,1
437,1,43,1
438,1,18,0
439,1,15,0
440,1,10,1
441,1,26,1
442,1,4,1
443,1,13,0
444,1,50,0
445,1,44,1
446,1,36,1
447,1,47,1
448,1,30,1
449,1,2,0
450,1,1,0
451,1,10,0
452,1,1,0
453,1,43,1
454,1,31,0
455,1,9,1
456,1,27,1
457,1,18,0
458,1,37,0
459,1,17,1
460,1,49,0
461,1,50,1
462,1,44,1
463,1,16,0
464,1,38,1
465,1,35,0
466,1,3,0
467,1,15,0
468,1,2,1
469,1,13,1
470,1,34,1
471,1,9,0
472,1,14,1
473,1,38,0
474,1,29,1
475,1,16,0
476,1,16,1
477,1,35,1
478,1,3,0
479,1,9,0
480,1,47,1
481,1,23,0
482,1,36,0
483,1,34,1
